model_name,model_display_name,model_description,dataset_type,learning_rate,iteration,epochs_trained,train_metrics,val_metrics,test_metrics,test_accuracy,val_accuracy,train_accuracy,test_precision,val_precision,train_precision,test_recall,val_recall,train_recall,test_f1,val_f1,train_f1
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-05,3,67,"{'precision': 0.5717501815541032, 'recall': 0.611764705882353, 'f1': 0.501944846217292, 'accuracy': 0.611764705882353}","{'precision': 0.5692307692307692, 'recall': 0.6, 'f1': 0.5363636363636365, 'accuracy': 0.6}","{'precision': 0.43833943833943834, 'recall': 0.55, 'f1': 0.4538451142046223, 'accuracy': 0.55}",0.55,0.6,0.611764705882353,0.43833943833943834,0.5692307692307692,0.5717501815541032,0.55,0.6,0.611764705882353,0.4538451142046223,0.5363636363636365,0.501944846217292
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-05,4,36,"{'precision': 0.3655667144906743, 'recall': 0.5764705882352941, 'f1': 0.4474100087796313, 'accuracy': 0.5764705882352941}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.35, 'recall': 0.56, 'f1': 0.4307692307692308, 'accuracy': 0.56}",0.56,0.6,0.5764705882352941,0.35,0.36,0.3655667144906743,0.56,0.6,0.5764705882352941,0.4307692307692308,0.44999999999999996,0.4474100087796313
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,5e-05,0,16,"{'precision': 0.5024390243902439, 'recall': 0.6, 'f1': 0.47810945273631833, 'accuracy': 0.6}","{'precision': 0.7857142857142858, 'recall': 0.6666666666666666, 'f1': 0.5838509316770186, 'accuracy': 0.6666666666666666}","{'precision': 0.7636363636363638, 'recall': 0.61, 'f1': 0.4723423838011966, 'accuracy': 0.61}",0.61,0.6666666666666666,0.6,0.7636363636363638,0.7857142857142858,0.5024390243902439,0.61,0.6666666666666666,0.6,0.4723423838011966,0.5838509316770186,0.47810945273631833
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,5e-05,1,41,"{'precision': 0.5024390243902439, 'recall': 0.6, 'f1': 0.47810945273631833, 'accuracy': 0.6}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.5625, 'recall': 0.6, 'f1': 0.48251748251748255, 'accuracy': 0.6}",0.6,0.5333333333333333,0.6,0.5625,0.3428571428571428,0.5024390243902439,0.6,0.5333333333333333,0.6,0.48251748251748255,0.41739130434782606,0.47810945273631833
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,5e-05,2,31,"{'precision': 0.5024390243902439, 'recall': 0.6, 'f1': 0.47810945273631833, 'accuracy': 0.6}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.7673469387755102, 'recall': 0.62, 'f1': 0.4937914406268837, 'accuracy': 0.62}",0.62,0.5333333333333333,0.6,0.7673469387755102,0.3428571428571428,0.5024390243902439,0.62,0.5333333333333333,0.6,0.4937914406268837,0.41739130434782606,0.47810945273631833
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,5e-05,3,19,"{'precision': 0.6393113342898135, 'recall': 0.6235294117647059, 'f1': 0.5088088966930057, 'accuracy': 0.6235294117647059}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.5612244897959183, 'recall': 0.6, 'f1': 0.46714888487040385, 'accuracy': 0.6}",0.6,0.5333333333333333,0.6235294117647059,0.5612244897959183,0.3428571428571428,0.6393113342898135,0.6,0.5333333333333333,0.6235294117647059,0.46714888487040385,0.41739130434782606,0.5088088966930057
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,5e-05,4,28,"{'precision': 0.5717501815541032, 'recall': 0.611764705882353, 'f1': 0.501944846217292, 'accuracy': 0.611764705882353}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.4907801418439716, 'recall': 0.58, 'f1': 0.4711462450592886, 'accuracy': 0.58}",0.58,0.5333333333333333,0.611764705882353,0.4907801418439716,0.3428571428571428,0.5717501815541032,0.58,0.5333333333333333,0.611764705882353,0.4711462450592886,0.41739130434782606,0.501944846217292
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-06,0,380,"{'precision': 0.6061624649859944, 'recall': 0.6235294117647059, 'f1': 0.5388235294117647, 'accuracy': 0.6235294117647059}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.45217391304347826, 'recall': 0.56, 'f1': 0.45964912280701753, 'accuracy': 0.56}",0.56,0.6,0.6235294117647059,0.45217391304347826,0.36,0.6061624649859944,0.56,0.6,0.6235294117647059,0.45964912280701753,0.44999999999999996,0.5388235294117647
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-06,1,226,"{'precision': 0.42607313195548485, 'recall': 0.5294117647058824, 'f1': 0.45284780578898226, 'accuracy': 0.5294117647058824}","{'precision': 0.5692307692307692, 'recall': 0.6, 'f1': 0.5363636363636365, 'accuracy': 0.6}","{'precision': 0.7066666666666667, 'recall': 0.66, 'f1': 0.5920000000000001, 'accuracy': 0.66}",0.66,0.6,0.5294117647058824,0.7066666666666667,0.5692307692307692,0.42607313195548485,0.66,0.6,0.5294117647058824,0.5920000000000001,0.5363636363636365,0.45284780578898226
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-06,2,306,"{'precision': 0.42866716306775876, 'recall': 0.5647058823529412, 'f1': 0.45888570342993334, 'accuracy': 0.5647058823529412}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.66875, 'recall': 0.62, 'f1': 0.5083916083916084, 'accuracy': 0.62}",0.62,0.6,0.5647058823529412,0.66875,0.36,0.42866716306775876,0.62,0.6,0.5647058823529412,0.5083916083916084,0.44999999999999996,0.45888570342993334
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-06,3,596,"{'precision': 0.5735666418466121, 'recall': 0.611764705882353, 'f1': 0.517384546302373, 'accuracy': 0.611764705882353}","{'precision': 0.32307692307692304, 'recall': 0.4666666666666667, 'f1': 0.38181818181818183, 'accuracy': 0.4666666666666667}","{'precision': 0.4907801418439716, 'recall': 0.58, 'f1': 0.4711462450592886, 'accuracy': 0.58}",0.58,0.4666666666666667,0.611764705882353,0.4907801418439716,0.32307692307692304,0.5735666418466121,0.58,0.4666666666666667,0.611764705882353,0.4711462450592886,0.38181818181818183,0.517384546302373
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-06,4,129,"{'precision': 0.5567567567567567, 'recall': 0.6, 'f1': 0.534920634920635, 'accuracy': 0.6}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.66, 'recall': 0.64, 'f1': 0.568, 'accuracy': 0.64}",0.64,0.5333333333333333,0.6,0.66,0.3428571428571428,0.5567567567567567,0.64,0.5333333333333333,0.6,0.568,0.41739130434782606,0.534920634920635
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-06,0,220,"{'precision': 0.5774901960784313, 'recall': 0.611764705882353, 'f1': 0.5430895009532838, 'accuracy': 0.611764705882353}","{'precision': 0.48333333333333334, 'recall': 0.5333333333333333, 'f1': 0.4888888888888889, 'accuracy': 0.5333333333333333}","{'precision': 0.5124668435013263, 'recall': 0.57, 'f1': 0.49996149403157486, 'accuracy': 0.57}",0.57,0.5333333333333333,0.611764705882353,0.5124668435013263,0.48333333333333334,0.5774901960784313,0.57,0.5333333333333333,0.611764705882353,0.49996149403157486,0.4888888888888889,0.5430895009532838
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-06,1,190,"{'precision': 0.5011169024571854, 'recall': 0.5882352941176471, 'f1': 0.48813512486615324, 'accuracy': 0.5882352941176471}","{'precision': 0.32307692307692304, 'recall': 0.4666666666666667, 'f1': 0.38181818181818183, 'accuracy': 0.4666666666666667}","{'precision': 0.475, 'recall': 0.54, 'f1': 0.4797619047619049, 'accuracy': 0.54}",0.54,0.4666666666666667,0.5882352941176471,0.475,0.32307692307692304,0.5011169024571854,0.54,0.4666666666666667,0.5882352941176471,0.4797619047619049,0.38181818181818183,0.48813512486615324
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-06,2,200,"{'precision': 0.3655667144906743, 'recall': 0.5764705882352941, 'f1': 0.4474100087796313, 'accuracy': 0.5764705882352941}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.5652173913043478, 'recall': 0.6, 'f1': 0.5087719298245613, 'accuracy': 0.6}",0.6,0.5333333333333333,0.5764705882352941,0.5652173913043478,0.3428571428571428,0.3655667144906743,0.6,0.5333333333333333,0.5764705882352941,0.5087719298245613,0.41739130434782606,0.4474100087796313
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-06,3,100,"{'precision': 0.3714285714285714, 'recall': 0.6, 'f1': 0.45882352941176463, 'accuracy': 0.6}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.7636363636363638, 'recall': 0.61, 'f1': 0.4723423838011966, 'accuracy': 0.61}",0.61,0.6,0.6,0.7636363636363638,0.36,0.3714285714285714,0.61,0.6,0.6,0.4723423838011966,0.44999999999999996,0.45882352941176463
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-06,4,296,"{'precision': 0.4060542398777693, 'recall': 0.5411764705882353, 'f1': 0.4457508925294451, 'accuracy': 0.5411764705882353}","{'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1': 0.6349206349206349, 'accuracy': 0.6666666666666666}","{'precision': 0.44285714285714284, 'recall': 0.52, 'f1': 0.45714285714285713, 'accuracy': 0.52}",0.52,0.6666666666666666,0.5411764705882353,0.44285714285714284,0.6666666666666666,0.4060542398777693,0.52,0.6666666666666666,0.5411764705882353,0.45714285714285713,0.6349206349206349,0.4457508925294451
